a,a
ab,ab
abandon,abandon
aber,aber
aboard,aboard
about,about
abov,abov
absolut,absolut
abus,abus
accept,accept
accus,accus
ace,ace
ach,ach
across,across
act,act
action,action
actual,actual
ad,ad
adam,adam
add,add
addict,addict
admit,admit
ador,ador
advanc,advanc
advic,advic
affair,affair
affect,affect
afford,afford
afraid,afraid
africa,africa
after,after
afternoon,afternoon
again,again
against,against
age,age
ago,ago
agre,agre
ah,ah
ahead,ahead
ahh,ahh
ahhh,ahhh
ahora,ahora
ai,ai
aim,aim
ain,ain
aint,aint
air,air
alarm,alarm
album,album
alcohol,alcohol
aliv,aliv
all,all
alley,alley
allow,allow
allá,allá
almighti,almighti
almost,almost
alon,alon
along,along
alreadi,alreadi
alright,alright
also,also
alter,alter
although,although
alway,alway
am,am
amaz,amaz
ambit,ambit
amen,amen
america,america
american,american
ami,ami
among,among
amor,amor
amour,amour
an,an
anchor,anchor
and,and
ander,ander
angel,angel
anger,anger
angri,angri
anguish,anguish
ani,ani
anna,anna
anoth,anoth
answer,answer
ant,ant
anybodi,anybodi
anyhow,anyhow
anymor,anymor
anyon,anyon
anyth,anyth
anytim,anytim
anyway,anyway
anywher,anywher
apart,apart
apolog,apolog
appl,appl
appreci,appreci
approach,approach
aquí,aquí
ar,ar
are,are
argu,argu
arm,arm
armi,armi
around,around
arrang,arrang
arriv,arriv
arrow,arrow
art,art
artist_y,artist_y
as,as
ascend,ascend
ash,ash
asham,asham
asid,asid
ask,ask
askin,askin
asleep,asleep
ass,ass
assum,assum
at,at
ate,ate
attack,attack
attempt,attempt
attent,attent
attitud,attitud
auf,auf
auto,auto
automat,automat
avec,avec
avenu,avenu
avoid,avoid
aw,aw
awak,awak
awaken,awaken
awar,awar
away,away
awhil,awhil
ay,ay
aye,aye
b,b
babe,babe
babi,babi
back,back
background,background
backward,backward
bad,bad
bag,bag
bail,bail
bake,bake
balanc,balanc
ball,ball
bam,bam
banana,banana
band,band
bang,bang
bank,bank
bar,bar
bare,bare
barrel,barrel
base,base
basement,basement
bass,bass
bath,bath
bathroom,bathroom
batter,batter
battl,battl
bay,bay
be,be
beach,beach
beam,beam
bean,bean
bear,bear
beast,beast
beat,beat
beaten,beaten
beauti,beauti
becaus,becaus
becom,becom
bed,bed
bedroom,bedroom
bee,bee
been,been
beer,beer
befor,befor
beg,beg
began,began
beggin,beggin
begin,begin
begun,begun
behav,behav
behind,behind
bein,bein
believ,believ
bell,bell
belong,belong
below,below
belt,belt
bend,bend
beneath,beneath
bent,bent
besid,besid
best,best
bet,bet
better,better
between,between
bewar,bewar
bibl,bibl
big,big
bigger,bigger
biggest,biggest
bike,bike
bill,bill
billi,billi
billion,billion
bin,bin
bird,bird
birth,birth
birthday,birthday
bist,bist
bit,bit
bitch,bitch
bite,bite
bitter,bitter
black,black
blade,blade
blah,blah
blame,blame
blank,blank
blanket,blanket
blast,blast
blaze,blaze
bleed,bleed
bless,bless
blew,blew
blind,blind
blink,blink
block,block
blond,blond
blood,blood
bloom,bloom
blow,blow
blowin,blowin
blown,blown
blue,blue
bluebird,bluebird
blunt,blunt
blur,blur
bo,bo
board,board
boat,boat
bob,bob
bobbi,bobbi
boca,boca
bodi,bodi
boil,boil
bold,bold
bomb,bomb
bon,bon
bone,bone
bonni,bonni
boo,boo
boogi,boogi
book,book
boom,boom
boot,boot
booti,booti
bop,bop
border,border
bore,bore
born,born
borrow,borrow
boss,boss
both,both
bother,bother
bottl,bottl
bottom,bottom
bought,bought
bounc,bounc
bound,bound
bout,bout
bow,bow
bowl,bowl
box,box
boy,boy
boyfriend,boyfriend
brain,brain
brake,brake
brand,brand
brave,brave
bread,bread
break,break
breakdown,breakdown
breakin,breakin
breath,breath
breez,breez
brick,brick
bride,bride
bridg,bridg
bright,bright
bring,bring
broke,broke
broken,broken
brother,brother
brought,brought
brown,brown
bruis,bruis
brush,brush
bubbl,bubbl
buck,buck
bucket,bucket
buddi,buddi
bug,bug
build,build
built,built
bull,bull
bullet,bullet
bullshit,bullshit
bum,bum
bump,bump
bunch,bunch
burden,burden
buri,buri
burn,burn
burnin,burnin
burnt,burnt
bus,bus
busi,busi
bust,bust
but,but
butt,butt
butterfli,butterfli
button,button
buy,buy
buzz,buzz
by,by
bye,bye
c,c
ca,ca
cadillac,cadillac
cafe,cafe
cake,cake
california,california
call,call
callin,callin
calm,calm
cambiar,cambiar
came,came
camera,camera
camino,camino
can,can
candi,candi
candl,candl
cannot,cannot
cant,cant
can’t,can’t
cap,cap
captain,captain
captur,captur
car,car
card,card
care,care
carol,carol
carri,carri
case,case
cash,cash
cast,cast
castl,castl
cat,cat
catch,catch
caught,caught
caus,caus
cave,cave
cd,cd
ceil,ceil
celebr,celebr
cell,cell
cent,cent
centuri,centuri
certain,certain
cest,cest
cha,cha
chain,chain
chair,chair
challeng,challeng
champagn,champagn
champion,champion
chanc,chanc
chang,chang
channel,channel
charg,charg
charli,charli
charm,charm
chase,chase
chat,chat
cheap,cheap
cheat,cheat
check,check
cheek,cheek
cheer,cheer
chees,chees
cherish,cherish
cherri,cherri
chest,chest
chicago,chicago
chick,chick
chicken,chicken
child,child
children,children
chill,chill
china,china
chip,chip
chocol,chocol
choic,choic
choos,choos
chop,chop
chorus,chorus
chose,chose
chosen,chosen
christ,christ
christian,christian
christma,christma
chrome,chrome
church,church
cielo,cielo
cigarett,cigarett
circl,circl
circumst,circumst
citi,citi
claim,claim
clap,clap
class,class
claus,claus
claw,claw
clay,clay
clean,clean
clear,clear
clever,clever
click,click
climb,climb
cling,cling
clip,clip
clock,clock
close,close
closer,closer
closet,closet
cloth,cloth
cloud,cloud
clown,clown
club,club
clue,clue
cmon,cmon
coast,coast
coat,coat
cock,cock
code,code
coffe,coffe
coin,coin
coke,coke
cold,cold
colder,colder
collar,collar
collect,collect
colleg,colleg
collid,collid
color,color
colour,colour
com,com
comb,comb
combin,combin
come,come
comfort,comfort
comin,comin
command,command
common,common
como,como
compani,compani
compar,compar
complain,complain
complet,complet
complic,complic
comprehend,comprehend
comput,comput
con,con
concentr,concentr
concern,concern
concret,concret
confess,confess
confid,confid
confus,confus
connect,connect
conquer,conquer
consequ,consequ
constant,constant
consum,consum
contact,contact
contain,contain
content,content
continu,continu
control,control
convers,convers
convinc,convinc
cook,cook
cool,cool
cop,cop
cope,cope
corazón,corazón
corn,corn
corner,corner
corp,corp
cos,cos
cosa,cosa
cost,cost
cotton,cotton
couch,couch
cough,cough
could,could
count,count
counti,counti
countri,countri
coup,coup
coupl,coupl
courag,courag
cours,cours
court,court
cousin,cousin
cover,cover
cow,cow
coward,coward
cowboy,cowboy
coz,coz
crack,crack
cradl,cradl
crash,crash
crave,crave
crawl,crawl
crazi,crazi
cream,cream
creat,creat
creep,creep
crew,crew
cri,cri
crime,crime
crippl,crippl
crook,crook
cross,cross
crow,crow
crowd,crowd
crown,crown
cruel,cruel
cruis,cruis
crumbl,crumbl
crush,crush
cryin,cryin
cuando,cuando
cuatro,cuatro
cultur,cultur
cup,cup
cure,cure
curl,curl
current,current
curs,curs
curtain,curtain
curv,curv
cut,cut
cute,cute
cuz,cuz
d,d
da,da
dad,dad
daddi,daddi
daili,daili
dale,dale
dam,dam
dame,dame
damn,damn
danc,danc
dancer,dancer
dancin,dancin
danger,danger
dare,dare
dark,dark
darken,darken
darkest,darkest
darl,darl
darlin,darlin
das,das
dash,dash
dass,dass
dat,dat
date_y,date_y
daughter,daughter
dawn,dawn
day,day
daylight,daylight
daze,daze
de,de
dead,dead
deaf,deaf
deal,deal
dear,dear
death,death
debt,debt
decid,decid
deck,deck
dee,dee
deed,deed
deep,deep
deeper,deeper
defeat,defeat
defend,defend
defin,defin
definit,definit
degre,degre
dein,dein
del,del
deliv,deliv
dem,dem
demand,demand
demasiado,demasiado
demon,demon
den,den
deni,deni
denn,denn
depend,depend
depress,depress
der,der
describ,describ
desert,desert
deserv,deserv
desir,desir
